"Pubmed Id"	"Pmc Id"	"Doi"	"Title"	"Year"	"Combinations"
"18546294"	"N.A."	"10.1002/mds.22143"	"Familial Parkinsonism with digenic parkin and PINK1 mutations"	"2008"	"OLI127; OLI128; OLI129"
"9158138"	"N.A."	"10.1093/hmg/6.5.659"	"Apparent Digenic Inheritance of Waardenburg Syndrome Type 2 (WS2) and Autosomal Recessive Ocular Albinism (AROA)"	"1997"	"OLI398; OLI399"
"27502037"	"N.A."	"10.1016/j.mce.2016.08.007"	"Targeted next generation sequencing approach identifies eighteen new candidate genes in normosmic hypogonadotropic hypogonadism and Kallmann syndrome"	"2016"	"OLI420; OLI421; OLI422; OLI423; OLI424; OLI425; "
"16398658"	"N.A."	"10.1111/j.1365-2141.2005.05852.x"	"Dual gene defects involving delta-aminolaevulinate dehydratase and coproporphyrinogen oxidase in a porphyria patient"	"2006"	"OLI001"
"19402160"	"N.A."	"10.1002/humu.21040"	"BBS7 and TTC8 (BBS8) mutations play a minor role in the mutational load of Bardet-Biedl syndrome in a multiethnic population"	"2009"	"OLI097; OLI098"
"12872260"	"N.A."	"10.1002/humu.10246"	"Digenic progressive external ophthalmoplegia in a sporadic patient: Recessive mutations in POLG and C10orf2/Twinkle"	"2003"	"OLI131"
"29742505"	"N.A."	"10.1159/000488163"	"The COL4A3 and COL4A4 Digenic Mutations in cis Result in Benign Familial Hematuria in a Large Chinese Family"	"2018"	"OLI318; OLI319"
"32102593"	"N.A."	"10.1177/0883073820902308"	"Familial Acute Necrotizing Encephalopathy: Evidence From Next Generation Sequencing of Digenic Inheritance"	"2020"	"OLI221"
"20472660"	"N.A."	"10.1136/jmg.2009.073205"	"Mutations in chaperonin-like BBS genes are a major contributor to disease development in a multiethnic Bardet-Biedl syndrome patient population"	"2010"	"OLI078; OLI079; OLI080; OLI081; OLI082; OLI083; "
"26748417"	"N.A."	"10.1111/cge.12722"	"Complex mode of inheritance in holoprosencephaly revealed by whole exome sequencing"	"2016"	"OLI407"
"28494446"	"N.A."	"10.1159/000471792"	"Mutation Load of Multiple Ion Channel Gene Mutations in Brugada Syndrome"	"2017"	"OLI183"
"21677404"	"N.A."	"10.1007/s12041-011-0045-2"	"Cystinuria AA (B): digenic inheritance with three mutations in two cystinuria genes"	"2011"	"OLI166"
"30097784"	"N.A."	"10.1007/s00417-018-4076-8"	"The characteristics of digenic familial exudative vitreoretinopathy"	"2018"	"OLI303; OLI304; OLI305; OLI306; OLI307; OLI308; "
"25979592"	"N.A."	"10.1016/J.MCP.2015.05.004"	"Targeted 46-gene and clinical exome sequencing for mutations causing cardiomyopathies"	"2015"	"OLI231; OLI232; OLI233; OLI234; OLI235; OLI236; "
"25236808"	"N.A."	"10.1016/J.HRTLNG.2014.07.004"	"Congenital long QT syndrome: Severe Torsades de pointes provoked by epinephrine in a digenic mutation carrier"	"2014"	"OLI445"
"17054399"	"PMC1617130"	"10.1371/journal.pgen.0020175"	"Kallmann Syndrome: Mutations in the Genes Encoding Prokineticin-2 and Prokineticin Receptor-2"	"2006"	"OLI152"
"29024829"	"N.A."	"10.1016/j.ejmg.2017.10.002"	"Distal renal tubular acidosis in a Libyan patient: Evidence for digenic inheritance"	"2018"	"OLI015"
"27796712"	"N.A."	"10.1007/s10157-016-1352-y"	"Female X-linked Alport syndrome with somatic mosaicism"	"2016"	"OLI516"
"28807751"	"N.A."	"10.1016/j.bbadis.2017.08.006"	"A novel PMCA3 mutation in an ataxic patient with hypomorphic phosphomannomutase 2 (PMM2) heterozygote mutations: Biochemical characterization of the pump defect"	"2017"	"OLI503"
"16922724"	"N.A."	"10.1111/j.1399-0004.2006.00671.x"	"Spectrum of pathogenic mutations and associated polymorphisms in a cohort of 44 unrelated patients with long QT syndrome"	"2006"	"OLI361; OLI362; OLI363; OLI364"
"11435303"	"N.A."	"10.1182/blood.V98.2.351"	"Fibrinogen Milano XII: a dysfunctional variant containing 2 amino acid substitutions, Aα R16C and γ G165R"	"2001"	"OLI099"
"27859054"	"N.A."	"10.1111/cge.12919"	"Alport syndrome: impact of digenic inheritance in patients management"	"2017"	"OLI154; OLI155; OLI156; OLI157"
"15733270"	"N.A."	"10.1111/j.1399-0004.2005.00411.x"	"Myocilin gene implicated in primary congenital glaucoma"	"2005"	"OLI169"
"22546700"	"N.A."	"10.1016/J.NMD.2012.04.001"	"A French family with Charcot–Marie–Tooth disease related to simultaneous heterozygous MFN2 and GDAP1 mutations"	"2012"	"OLI210"
"26050231"	"N.A."	"10.1007/s10072-015-2247-5"	"Sporadic PEO caused by a novel POLG variation and a Twinkle mutation: digenic inheritance?"	"2015"	"OLI114"
"30016581"	"N.A."	"10.1002/humu.23592"	"Next generation sequencing identifies double homozygous mutations in two distinct genes (EXPH5 and COL17A1) in a patient with concomitant simplex and junctional epidermolysis bullosa"	"2018"	"OLI443"
"21519004"	"N.A."	"10.1212/WNL.0b013e318217e77d"	"Simultaneous MFN2 and GDAP1 mutations cause major mitochondrial defects in a patient with CMT"	"2011"	"OLI111"
"15981244"	"N.A."	"10.1002/humu.20191"	"Complexity of the genotype-phenotype correlation in familial exudative vitreoretinopathy with mutations in the LRP5 and/or FZD4 genes"	"2005"	"OLI419"
"21837767"	"N.A."	"10.1002/humu.21550"	"Digenic inheritance of mutations in FOXC1 and PITX2: Correlating transcription factor function and axenfeld-rieger disease severity"	"2011"	"OLI253"
"32228225"	"N.A."	"10.1080/16078454.2020.1746109"	"Congenital fibrinogen disorder caused by digenic mutations of the FGA and FGB genes"	"2020"	"OLI030"
"12704386"	"N.A."	"10.1038/ng1147"	"Complex inheritance of familial hypercholanemia with associated mutations in TJP2 and BAAT"	"2003"	"OLI109; OLI110"
"28642161"	"N.A."	"10.1016/j.ejmg.2017.06.008"	"Digenic inheritance of mutations in the cardiac troponin ( TNNT2 ) and cardiac beta myosin heavy chain ( MYH7 ) as the cause of severe dilated cardiomyopathy"	"2017"	"OLI416"
"32713623"	"N.A."	"10.1016/j.neurobiolaging.2020.06.017"	"The identified clinical features of Parkinson's disease in homo-, heterozygous and digenic variants of PINK1"	"2021"	"OLI228; OLI127; OLI229; OLI230"
"12915468"	"N.A."	"10.1093/hmg/ddg225"	"Digenic inheritance of mutations in HAMP and HFE results in different types of haemochromatosis"	"2003"	"OLI186; OLI187"
"17060380"	"N.A."	"10.1161/circulationaha.106.635268"	"Mutant Caveolin-3 Induces Persistent Late Sodium Current and Is Associated With Long-QT Syndrome"	"2006"	"OLI459"
"15829536"	"N.A."	"10.1056/NEJMoa043899"	"Modification of Human Hearing Loss by Plasma-Membrane Calcium Pump PMCA2"	"2005"	"OLI497"
"32645390"	"N.A."	"10.1016/j.cca.2020.07.005"	"Whole exome sequencing reveals novel candidate gene variants for MODY"	"2020"	"OLI513"
"16327777"	"N.A."	"10.1038/nature04370"	"Dissection of epistasis in oligogenic Bardet–Biedl syndrome"	"2005"	"OLI037; OLI038; OLI039; OLI041; OLI059"
"8202715"	"N.A."	"10.1126/science.8202715"	"Digenic Retinitis Pigmentosa Due to Mutations at the Unlinked Peripherin/RDS and ROM1 Loci"	"1994"	"OLI222; OLI223"
"16884893"	"N.A."	"10.1016/J.EPLEPSYRES.2005.11.028"	"Phenotypes and genotypes in epilepsy with febrile seizures plus"	"2006"	"OLI168"
"25719458"	"N.A."	"10.1038/gim.2014.213"	"Whole-exome sequencing reveals diverse modes of inheritance in sporadic mild to moderate sensorineural hearing loss in a pediatric population"	"2015"	"OLI254"
"11854170"	"N.A."	"10.1093/hmg/11.4.379"	"Genotype/phenotype correlations of NPHS1 and NPHS2 mutations in nephrotic syndrome advocate a functional inter-relationship in glomerular filtration"	"2002"	"OLI255; OLI256; OLI257"
"32400230"	"N.A."	"10.1080/09513590.2020.1760241"	"Identification of rare missense mutations in NOTCH2 and HERC2 associated with familial central precocious puberty via whole-exome sequencing"	"2020"	"OLI258"
"22832485"	"N.A."	"10.1038/jid.2012.229"	"Digenic Inheritance in Epidermolysis Bullosa Simplex"	"2012"	"OLI414"
"20022991"	"N.A."	"10.1210/jc.2009-0843"	"A Comparative Phenotypic Study of Kallmann Syndrome Patients Carrying Monoallelic and Biallelic Mutations in the Prokineticin 2 or Prokineticin Receptor 2 Genes"	"2010"	"OLI204; OLI205; OLI206; OLI207; OLI208"
"16632486"	"N.A."	"10.1093/hmg/ddl104"	"Association of PINK1 and DJ-1 confers digenic inheritance of early-onset Parkinson's disease"	"2006"	"OLI209"
"27603904"	"N.A."	"10.1210/jc.2016-2152"	"Identification of Multiple Gene Mutations Accounts for a new Genetic Architecture of Primary Ovarian Insufficiency"	"2016"	"OLI090; OLI091; OLI092; OLI093; OLI094; OLI095"
"18326704"	"N.A."	"10.1167/iovs.07-0791"	"A Comprehensive Genetic Study of Autosomal Recessive Ocular Albinism in Caucasian Patients"	"2008"	"OLI217; OLI220"
"25531638"	"N.A."	"10.3109/07435800.2014.982327"	"Triallelic digenic mutation in theprokineticin 2andGNRHreceptor genes in two brothers with normosmic congenital hypogonadotropic hypogonadism"	"2014"	"OLI201"
"20120035"	"N.A."	"10.1002/humu.21204"	"Bardet-Biedl syndrome in Denmark-report of 13 novel sequence variations in six genes"	"2010"	"OLI170; OLI171; OLI172; OLI173; OLI174; OLI175; "
"32171037"	"N.A."	"10.1111/cen.14182"	"The ominous trio of PCSK1, CHD7 and PAX4: Normosmic hypogonadotropic hypogonadism with maturity‐onset diabetes in a young man"	"2020"	"OLI132"
"27994174"	"N.A."	"10.1007/s12041-016-0691-5"	"Evidence of digenic inheritance in autoinflammation-associated genes"	"2016"	"OLI411; OLI412; OLI413"
"25575550"	"N.A."	"10.1136/jmedgenet-2014-102822"	"Evidence of digenic inheritance in Alport syndrome"	"2015"	"OLI376; OLI377; OLI378; OLI379; OLI380; OLI381; "
